sample	celltype	condition	sra	species	endedness
SRR2297320	MII	H3K4me3	1	mm10	pe
SRR2297321	MII	H3K4me3	1	mm10	pe
SRR2297322	MII	H3K4me3	1	mm10	pe
SRR2297323	MII	H3K4me3	1	mm10	pe
SRR2297328	MII	input	1	mm10	pe
SRR2297329	MII	input	1	mm10	pe
SRR2297330	MII	input	1	mm10	pe
SRR2297331	MII	input	1	mm10	pe
SRR3337253	P12	H3K4me3	1	mm10	pe
SRR3337254	P12	H3K4me3	1	mm10	pe
SRR3337261	P12	input	1	mm10	pe
SRR3337260	P12	input	1	mm10	pe
SRR3337259	P12	input	1	mm10	pe
SRR2297298	ES	H3K4me3_100k	1	mm10	se
SRR2297299	ES	H3K4me3_100k	1	mm10	se
SRR2297300	ES	H3K4me3_10k	1	mm10	se
SRR2297301	ES	H3K4me3_10k	1	mm10	se
SRR2297302	ES	H3K4me3_1k	1	mm10	se
SRR2297303	ES	H3K4me3_1k	1	mm10	se
SRR2297304	ES	H3K4me3_1k	1	mm10	se
SRR2297305	ES	H3K4me3_1k	1	mm10	se
SRR2297306	ES	H3K4me3_1k	1	mm10	se
SRR2297307	ES	H3K4me3_500	1	mm10	se
SRR2297308	ES	H3K4me3_500	1	mm10	se
SRR2297309	ES	H3K4me3_500	1	mm10	se
SRR2297318	ES	input		1	mm10	se
SRR2297319	ES	input		1	mm10	se